="                        EXPORT INTENSITY DYNAMICS - Chile (1998 to 2006)"
="",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs",="exs"
="exporter",="0.256",="0.248",="0.187",="0.113",="0.117",="0.133",="0.139",="0.139",="0.134"
="",="37.33",="33.16",="31.95",="20.96",="21.34",="22.57",="18.51",="18.52",="17.51"
="L.lnemp",="",="0.003",="0.001",="-0.000",="",="",="-0.001",="",=""
="",="",="1.78",="0.31",="-0.50",="",="",="-1.58",="",=""
="L.exporter",="",="",="0.079",="-0.070",="-0.074",="-0.077",="-0.082",="-0.082",="-0.079"
="",="",="",="16.72",="-16.32",="-16.70",="-17.95",="-14.69",="-14.71",="-13.87"
="L.exs",="",="",="",="0.846",="0.844",="0.831",="0.830",="0.830",="0.832"
="",="",="",="",="98.07",="98.31",="85.67",="81.83",="81.91",="77.90"
="stopper",="",="",="",="",="",="-0.066",="-0.063",="-0.062",="-0.057"
="",="",="",="",="",="",="-11.77",="-9.16",="-9.14",="-8.12"
="starter",="",="",="",="",="",="",="-0.022",="-0.009",="-0.012"
="",="",="",="",="",="",="",="-2.01",="-0.80",="-1.01"
="starterstopper",="",="",="",="",="",="",="0.004",="-0.009",="-0.012"
="",="",="",="",="",="",="",="0.30",="-0.68",="-0.92"
="stopperstarter",="",="",="",="",="",="",="0.009",="0.007",="0.003"
="",="",="",="",="",="",="",="0.78",="0.66",="0.29"
="last2",="",="",="",="",="",="",="",="",="-0.010"
="",="",="",="",="",="",="",="",="",="-4.46"
="N",="47817",="37593",="37593",="37593",="37633",="36095",="36055",="36095",="32337"
="r2_a",=".53",=".53",=".53",=".87",=".86",=".86",=".87",=".86",=".87"
